name,bike_stands_mean,available_bikes_mean,available_bike_stands_mean,hour,date,Rain
BARROW STREET,40.0,4.0,36.0,0,01/04/2018,False
BENSON STREET,40.0,0.0,0.0,0,01/04/2018,False
BLACKHALL PLACE,30.0,5.0,25.0,0,01/04/2018,False
BLESSINGTON STREET,20.0,3.0,17.0,0,01/04/2018,False
BOLTON STREET,20.0,11.0,9.0,0,01/04/2018,False
BROOKFIELD ROAD,30.0,21.0,9.0,0,01/04/2018,False
CATHAL BRUGHA STREET,20.0,19.0,1.0,0,01/04/2018,False
CHARLEMONT PLACE,40.0,32.0,8.0,0,01/04/2018,False
CHRISTCHURCH PLACE,20.0,17.0,3.0,0,01/04/2018,False
CITY QUAY,30.0,3.0,27.0,0,01/04/2018,False
CLARENDON ROW,31.0,18.0,13.0,0,01/04/2018,False
CLONMEL STREET,33.0,33.0,0.0,0,01/04/2018,False
COLLINS BARRACKS MUSEUM,38.0,13.0,25.0,0,01/04/2018,False
CONVENTION CENTRE,40.0,0.0,40.0,0,01/04/2018,False
CUSTOM HOUSE,30.0,27.0,3.0,0,01/04/2018,False
CUSTOM HOUSE QUAY,30.0,9.0,21.0,0,01/04/2018,False
DAME STREET,16.0,13.923076923076925,2.0769230769230766,0,01/04/2018,False
DENMARK STREET GREAT,20.0,15.0,5.0,0,01/04/2018,False
DEVERELL PLACE,30.0,26.0,4.0,0,01/04/2018,False
EARLSFORT TERRACE,30.0,7.0,23.0,0,01/04/2018,False
ECCLES STREET,20.0,4.0,16.0,0,01/04/2018,False
ECCLES STREET EAST,27.0,0.0,27.0,0,01/04/2018,False
EMMET ROAD,40.0,15.153846153846152,24.84615384615385,0,01/04/2018,False
EXCHEQUER STREET,24.0,15.0,9.0,0,01/04/2018,False
EXCISE WALK,40.0,17.0,23.0,0,01/04/2018,False
FENIAN STREET,35.0,7.0,28.0,0,01/04/2018,False
FITZWILLIAM SQUARE EAST,40.0,0.0,0.0,0,01/04/2018,False
FITZWILLIAM SQUARE WEST,30.0,9.0,21.0,0,01/04/2018,False
FOWNES STREET UPPER,30.0,18.0,12.0,0,01/04/2018,False
FRANCIS STREET,30.0,21.0,9.0,0,01/04/2018,False
FREDERICK STREET SOUTH,30.0,8.0,22.0,0,01/04/2018,False
GEORGES LANE,40.0,3.0,37.0,0,01/04/2018,False
GEORGES QUAY,20.0,9.0,11.0,0,01/04/2018,False
GOLDEN LANE,20.0,19.0,1.0,0,01/04/2018,False
GRAND CANAL DOCK,40.0,18.0,22.0,0,01/04/2018,False
GRANGEGORMAN LOWER (CENTRAL),40.0,4.0,36.0,0,01/04/2018,False
GRANGEGORMAN LOWER (NORTH),36.0,2.0,34.0,0,01/04/2018,False
GRANGEGORMAN LOWER (SOUTH),40.0,3.0,37.0,0,01/04/2018,False
GRANTHAM STREET,30.0,12.0,18.0,0,01/04/2018,False
GRATTAN STREET,23.0,3.0,20.0,0,01/04/2018,False
GREEK STREET,20.0,13.0,7.0,0,01/04/2018,False
GUILD STREET,40.0,3.0,37.0,0,01/04/2018,False
HANOVER QUAY,40.0,1.0,39.0,0,01/04/2018,False
HARCOURT TERRACE,20.0,14.0,6.0,0,01/04/2018,False
HARDWICKE PLACE,25.0,12.0,13.0,0,01/04/2018,False
HARDWICKE STREET,16.0,3.0,13.0,0,01/04/2018,False
HATCH STREET,36.0,11.0,25.0,0,01/04/2018,False
HERBERT PLACE,30.0,20.0,10.0,0,01/04/2018,False
HERBERT STREET,40.0,4.0,36.0,0,01/04/2018,False
HEUSTON BRIDGE (NORTH),40.0,35.0,5.0,0,01/04/2018,False
HEUSTON BRIDGE (SOUTH),25.0,10.0,15.0,0,01/04/2018,False
HEUSTON STATION (CAR PARK),40.0,40.0,0.0,0,01/04/2018,False
HEUSTON STATION (CENTRAL),40.0,40.0,0.0,0,01/04/2018,False
HIGH STREET,29.0,17.0,12.0,0,01/04/2018,False
JAMES STREET,40.0,23.0,17.0,0,01/04/2018,False
JERVIS STREET,21.0,11.0,10.0,0,01/04/2018,False
JOHN STREET WEST,31.0,23.0,8.0,0,01/04/2018,False
KEVIN STREET,40.0,21.0,19.0,0,01/04/2018,False
KILMAINHAM GAOL,40.0,28.0,12.0,0,01/04/2018,False
KILMAINHAM LANE,30.0,7.0,23.0,0,01/04/2018,False
KING STREET NORTH,30.0,8.333333333333334,21.66666666666667,0,01/04/2018,False
LEINSTER STREET SOUTH,30.0,3.0,27.0,0,01/04/2018,False
LIME STREET,40.0,6.0,34.0,0,01/04/2018,False
MARKET STREET SOUTH,38.0,16.0,22.0,0,01/04/2018,False
MATER HOSPITAL,40.0,22.0,18.0,0,01/04/2018,False
MERRION SQUARE EAST,30.0,1.0,29.0,0,01/04/2018,False
MERRION SQUARE WEST,20.0,0.0,20.0,0,01/04/2018,False
MOLESWORTH STREET,20.0,11.0,9.0,0,01/04/2018,False
MOUNT BROWN,22.0,9.0,13.0,0,01/04/2018,False
MOUNT STREET LOWER,40.0,19.0,21.0,0,01/04/2018,False
MOUNTJOY SQUARE WEST,30.0,27.0,3.0,0,01/04/2018,False
NEW CENTRAL BANK,40.0,2.0,38.0,0,01/04/2018,False
NEWMAN HOUSE,40.0,0.0,40.0,0,01/04/2018,False
NORTH CIRCULAR ROAD,30.0,10.0,20.0,0,01/04/2018,False
OLIVER BOND STREET,30.0,17.0,13.0,0,01/04/2018,False
ORMOND QUAY UPPER,29.0,29.0,0.0,0,01/04/2018,False
PARKGATE STREET,38.0,19.0,19.0,0,01/04/2018,False
PARNELL SQUARE NORTH,20.0,8.0,12.0,0,01/04/2018,False
PARNELL STREET,20.0,18.0,2.0,0,01/04/2018,False
PEARSE STREET,30.0,4.0,26.0,0,01/04/2018,False
PORTOBELLO HARBOUR,30.0,11.0,19.0,0,01/04/2018,False
PORTOBELLO ROAD,30.0,5.153846153846153,24.84615384615385,0,01/04/2018,False
PRINCES STREET / O'CONNELL STREET,23.0,15.0,8.0,0,01/04/2018,False
ROTHE ABBEY,35.0,6.0,29.0,0,01/04/2018,False
ROYAL HOSPITAL,40.0,6.0,34.0,0,01/04/2018,False
SANDWITH STREET,40.0,0.0,0.0,0,01/04/2018,False
SIR PATRICK DUN'S,40.0,15.0,25.0,0,01/04/2018,False
SMITHFIELD,30.0,6.0,24.0,0,01/04/2018,False
SMITHFIELD NORTH,30.0,6.461538461538463,23.538461538461537,0,01/04/2018,False
SOUTH DOCK ROAD,30.0,3.3076923076923075,26.69230769230769,0,01/04/2018,False
ST JAMES HOSPITAL (LUAS),40.0,22.30769230769231,17.69230769230769,0,01/04/2018,False
ST. JAMES HOSPITAL (CENTRAL),40.0,25.0,15.0,0,01/04/2018,False
ST. STEPHEN'S GREEN EAST,40.0,19.0,21.0,0,01/04/2018,False
ST. STEPHEN'S GREEN SOUTH,30.0,14.0,16.0,0,01/04/2018,False
STRAND STREET GREAT,35.0,26.0,9.0,0,01/04/2018,False
TALBOT STREET,40.0,36.0,4.0,0,01/04/2018,False
THE POINT,40.0,8.0,32.0,0,01/04/2018,False
TOWNSEND STREET,20.0,18.0,2.0,0,01/04/2018,False
UPPER SHERRARD STREET,30.0,22.0,8.0,0,01/04/2018,False
WESTERN WAY,40.0,17.0,23.0,0,01/04/2018,False
WILTON TERRACE,20.0,6.0,14.0,0,01/04/2018,False
WOLFE TONE STREET,29.0,28.0,1.0,0,01/04/2018,False
YORK STREET EAST,32.0,18.0,14.0,0,01/04/2018,False
YORK STREET WEST,40.0,22.0,18.0,0,01/04/2018,False
BARROW STREET,40.0,4.0,36.0,1,01/04/2018,False
BENSON STREET,40.0,0.0,0.0,1,01/04/2018,False
BLACKHALL PLACE,30.0,5.0,25.0,1,01/04/2018,False
BLESSINGTON STREET,20.0,3.0,17.0,1,01/04/2018,False
BOLTON STREET,20.0,11.0,9.0,1,01/04/2018,False
BROOKFIELD ROAD,30.0,21.0,9.0,1,01/04/2018,False
CATHAL BRUGHA STREET,20.0,19.0,1.0,1,01/04/2018,False
CHARLEMONT PLACE,40.0,32.0,8.0,1,01/04/2018,False
CHRISTCHURCH PLACE,20.0,17.0,3.0,1,01/04/2018,False
CITY QUAY,30.0,3.0,27.0,1,01/04/2018,False
CLARENDON ROW,31.0,18.0,13.0,1,01/04/2018,False
CLONMEL STREET,33.0,33.0,0.0,1,01/04/2018,False
COLLINS BARRACKS MUSEUM,38.0,13.0,25.0,1,01/04/2018,False
CONVENTION CENTRE,40.0,0.0,40.0,1,01/04/2018,False
CUSTOM HOUSE,30.0,27.0,3.0,1,01/04/2018,False
CUSTOM HOUSE QUAY,30.0,9.0,21.0,1,01/04/2018,False
DAME STREET,16.0,14.0,2.0,1,01/04/2018,False
DENMARK STREET GREAT,20.0,15.0,5.0,1,01/04/2018,False
DEVERELL PLACE,30.0,26.0,4.0,1,01/04/2018,False
EARLSFORT TERRACE,30.0,7.0,23.0,1,01/04/2018,False
ECCLES STREET,20.0,4.615384615384615,15.384615384615385,1,01/04/2018,False
ECCLES STREET EAST,27.0,0.0,27.0,1,01/04/2018,False
EMMET ROAD,40.0,16.0,24.0,1,01/04/2018,False
EXCHEQUER STREET,24.0,15.0,9.0,1,01/04/2018,False
EXCISE WALK,40.0,17.0,23.0,1,01/04/2018,False
FENIAN STREET,35.0,7.0,28.0,1,01/04/2018,False
FITZWILLIAM SQUARE EAST,40.0,0.0,0.0,1,01/04/2018,False
FITZWILLIAM SQUARE WEST,30.0,9.0,21.0,1,01/04/2018,False
FOWNES STREET UPPER,30.0,18.0,12.0,1,01/04/2018,False
FRANCIS STREET,30.0,21.0,9.0,1,01/04/2018,False
FREDERICK STREET SOUTH,30.0,8.0,22.0,1,01/04/2018,False
GEORGES LANE,40.0,3.0,37.0,1,01/04/2018,False
GEORGES QUAY,20.0,9.0,11.0,1,01/04/2018,False
GOLDEN LANE,20.0,19.0,1.0,1,01/04/2018,False
GRAND CANAL DOCK,40.0,18.0,22.0,1,01/04/2018,False
GRANGEGORMAN LOWER (CENTRAL),40.0,4.0,36.0,1,01/04/2018,False
GRANGEGORMAN LOWER (NORTH),36.0,2.0,34.0,1,01/04/2018,False
GRANGEGORMAN LOWER (SOUTH),40.0,3.0,37.0,1,01/04/2018,False
GRANTHAM STREET,30.0,12.0,18.0,1,01/04/2018,False
GRATTAN STREET,23.0,3.0,20.0,1,01/04/2018,False
GREEK STREET,20.0,13.0,7.0,1,01/04/2018,False
GUILD STREET,40.0,3.0,37.0,1,01/04/2018,False
HANOVER QUAY,40.0,1.0,39.0,1,01/04/2018,False
HARCOURT TERRACE,20.0,14.0,6.0,1,01/04/2018,False
HARDWICKE PLACE,25.0,12.0,13.0,1,01/04/2018,False
HARDWICKE STREET,16.0,3.0,13.0,1,01/04/2018,False
HATCH STREET,36.0,11.0,25.0,1,01/04/2018,False
HERBERT PLACE,30.0,20.0,10.0,1,01/04/2018,False
HERBERT STREET,40.0,4.0,36.0,1,01/04/2018,False
HEUSTON BRIDGE (NORTH),40.0,35.0,5.0,1,01/04/2018,False
HEUSTON BRIDGE (SOUTH),25.0,10.0,15.0,1,01/04/2018,False
HEUSTON STATION (CAR PARK),40.0,40.0,0.0,1,01/04/2018,False
HEUSTON STATION (CENTRAL),40.0,40.0,0.0,1,01/04/2018,False
HIGH STREET,29.0,17.0,12.0,1,01/04/2018,False
JAMES STREET,40.0,23.0,17.0,1,01/04/2018,False
JERVIS STREET,21.0,11.0,10.0,1,01/04/2018,False
JOHN STREET WEST,31.0,23.0,8.0,1,01/04/2018,False
KEVIN STREET,40.0,21.0,19.0,1,01/04/2018,False
KILMAINHAM GAOL,40.0,28.0,12.0,1,01/04/2018,False
KILMAINHAM LANE,30.0,7.0,23.0,1,01/04/2018,False
KING STREET NORTH,30.0,9.0,21.0,1,01/04/2018,False
LEINSTER STREET SOUTH,30.0,3.0,27.0,1,01/04/2018,False
LIME STREET,40.0,6.0,34.0,1,01/04/2018,False
MARKET STREET SOUTH,38.0,16.0,22.0,1,01/04/2018,False
MATER HOSPITAL,40.0,22.0,18.0,1,01/04/2018,False
MERRION SQUARE EAST,30.0,1.0,29.0,1,01/04/2018,False
MERRION SQUARE WEST,20.0,0.0,20.0,1,01/04/2018,False
MOLESWORTH STREET,20.0,11.0,9.0,1,01/04/2018,False
MOUNT BROWN,22.0,9.0,13.0,1,01/04/2018,False
MOUNT STREET LOWER,40.0,19.0,21.0,1,01/04/2018,False
MOUNTJOY SQUARE WEST,30.0,27.0,3.0,1,01/04/2018,False
NEW CENTRAL BANK,40.0,2.0,38.0,1,01/04/2018,False
NEWMAN HOUSE,40.0,0.0,40.0,1,01/04/2018,False
NORTH CIRCULAR ROAD,30.0,10.0,20.0,1,01/04/2018,False
OLIVER BOND STREET,30.0,17.0,13.0,1,01/04/2018,False
ORMOND QUAY UPPER,29.0,29.0,0.0,1,01/04/2018,False
PARKGATE STREET,38.0,19.0,19.0,1,01/04/2018,False
PARNELL SQUARE NORTH,20.0,8.0,12.0,1,01/04/2018,False
PARNELL STREET,20.0,18.0,2.0,1,01/04/2018,False
PEARSE STREET,30.0,4.0,26.0,1,01/04/2018,False
PORTOBELLO HARBOUR,30.0,11.0,19.0,1,01/04/2018,False
PORTOBELLO ROAD,30.0,6.0,24.0,1,01/04/2018,False
PRINCES STREET / O'CONNELL STREET,23.0,15.0,8.0,1,01/04/2018,False
ROTHE ABBEY,35.0,6.0,29.0,1,01/04/2018,False
ROYAL HOSPITAL,40.0,6.0,34.0,1,01/04/2018,False
SANDWITH STREET,40.0,0.0,0.0,1,01/04/2018,False
SIR PATRICK DUN'S,40.0,15.0,25.0,1,01/04/2018,False
SMITHFIELD,30.0,6.0,24.0,1,01/04/2018,False
SMITHFIELD NORTH,30.0,7.0,23.0,1,01/04/2018,False
SOUTH DOCK ROAD,30.0,4.0,26.0,1,01/04/2018,False
ST JAMES HOSPITAL (LUAS),40.0,23.0,17.0,1,01/04/2018,False
ST. JAMES HOSPITAL (CENTRAL),40.0,25.0,15.0,1,01/04/2018,False
ST. STEPHEN'S GREEN EAST,40.0,19.0,21.0,1,01/04/2018,False
ST. STEPHEN'S GREEN SOUTH,30.0,14.0,16.0,1,01/04/2018,False
STRAND STREET GREAT,35.0,26.0,9.0,1,01/04/2018,False
TALBOT STREET,40.0,36.0,4.0,1,01/04/2018,False
THE POINT,40.0,8.0,32.0,1,01/04/2018,False
TOWNSEND STREET,20.0,18.0,2.0,1,01/04/2018,False
UPPER SHERRARD STREET,30.0,22.0,8.0,1,01/04/2018,False
WESTERN WAY,40.0,17.0,23.0,1,01/04/2018,False
WILTON TERRACE,20.0,6.0,14.0,1,01/04/2018,False
WOLFE TONE STREET,29.0,28.0,1.0,1,01/04/2018,False
YORK STREET EAST,32.0,18.0,14.0,1,01/04/2018,False
YORK STREET WEST,40.0,22.0,18.0,1,01/04/2018,False
BARROW STREET,40.0,4.0,36.0,2,01/04/2018,False
BENSON STREET,40.0,0.0,0.0,2,01/04/2018,False
BLACKHALL PLACE,30.0,5.0,25.0,2,01/04/2018,False
BLESSINGTON STREET,20.0,3.0,17.0,2,01/04/2018,False
BOLTON STREET,20.0,11.0,9.0,2,01/04/2018,False
BROOKFIELD ROAD,30.0,21.0,9.0,2,01/04/2018,False
CATHAL BRUGHA STREET,20.0,19.0,1.0,2,01/04/2018,False
CHARLEMONT PLACE,40.0,32.0,8.0,2,01/04/2018,False
CHRISTCHURCH PLACE,20.0,17.0,3.0,2,01/04/2018,False
CITY QUAY,30.0,3.0,27.0,2,01/04/2018,False
CLARENDON ROW,31.0,18.0,13.0,2,01/04/2018,False
CLONMEL STREET,33.0,33.0,0.0,2,01/04/2018,False
COLLINS BARRACKS MUSEUM,38.0,13.0,25.0,2,01/04/2018,False
CONVENTION CENTRE,40.0,0.0,40.0,2,01/04/2018,False
CUSTOM HOUSE,30.0,27.0,3.0,2,01/04/2018,False
CUSTOM HOUSE QUAY,30.0,9.0,21.0,2,01/04/2018,False
DAME STREET,16.0,14.0,2.0,2,01/04/2018,False
DENMARK STREET GREAT,20.0,15.0,5.0,2,01/04/2018,False
DEVERELL PLACE,30.0,26.0,4.0,2,01/04/2018,False
EARLSFORT TERRACE,30.0,7.0,23.0,2,01/04/2018,False
ECCLES STREET,20.0,5.0,15.0,2,01/04/2018,False
ECCLES STREET EAST,27.0,0.0,27.0,2,01/04/2018,False
EMMET ROAD,40.0,16.0,24.0,2,01/04/2018,False
EXCHEQUER STREET,24.0,15.0,9.0,2,01/04/2018,False
EXCISE WALK,40.0,17.0,23.0,2,01/04/2018,False
FENIAN STREET,35.0,7.0,28.0,2,01/04/2018,False
FITZWILLIAM SQUARE EAST,40.0,0.0,0.0,2,01/04/2018,False
FITZWILLIAM SQUARE WEST,30.0,9.0,21.0,2,01/04/2018,False
FOWNES STREET UPPER,30.0,18.0,12.0,2,01/04/2018,False
FRANCIS STREET,30.0,21.0,9.0,2,01/04/2018,False
FREDERICK STREET SOUTH,30.0,8.0,22.0,2,01/04/2018,False
GEORGES LANE,40.0,3.0,37.0,2,01/04/2018,False
GEORGES QUAY,20.0,9.0,11.0,2,01/04/2018,False
GOLDEN LANE,20.0,19.0,1.0,2,01/04/2018,False
GRAND CANAL DOCK,40.0,18.0,22.0,2,01/04/2018,False
GRANGEGORMAN LOWER (CENTRAL),40.0,4.0,36.0,2,01/04/2018,False
GRANGEGORMAN LOWER (NORTH),36.0,2.0,34.0,2,01/04/2018,False
GRANGEGORMAN LOWER (SOUTH),40.0,3.0,37.0,2,01/04/2018,False
GRANTHAM STREET,30.0,12.0,18.0,2,01/04/2018,False
GRATTAN STREET,23.0,3.0,20.0,2,01/04/2018,False
GREEK STREET,20.0,13.0,7.0,2,01/04/2018,False
GUILD STREET,40.0,3.0,37.0,2,01/04/2018,False
HANOVER QUAY,40.0,1.0,39.0,2,01/04/2018,False
HARCOURT TERRACE,20.0,14.0,6.0,2,01/04/2018,False
HARDWICKE PLACE,25.0,12.0,13.0,2,01/04/2018,False
HARDWICKE STREET,16.0,3.0,13.0,2,01/04/2018,False
HATCH STREET,36.0,11.0,25.0,2,01/04/2018,False
HERBERT PLACE,30.0,20.0,10.0,2,01/04/2018,False
HERBERT STREET,40.0,4.0,36.0,2,01/04/2018,False
HEUSTON BRIDGE (NORTH),40.0,35.0,5.0,2,01/04/2018,False
HEUSTON BRIDGE (SOUTH),25.0,10.0,15.0,2,01/04/2018,False
HEUSTON STATION (CAR PARK),40.0,40.0,0.0,2,01/04/2018,False
HEUSTON STATION (CENTRAL),40.0,40.0,0.0,2,01/04/2018,False
HIGH STREET,29.0,17.0,12.0,2,01/04/2018,False
JAMES STREET,40.0,23.0,17.0,2,01/04/2018,False
JERVIS STREET,21.0,11.0,10.0,2,01/04/2018,False
JOHN STREET WEST,31.0,23.0,8.0,2,01/04/2018,False
KEVIN STREET,40.0,21.0,19.0,2,01/04/2018,False
KILMAINHAM GAOL,40.0,28.0,12.0,2,01/04/2018,False
KILMAINHAM LANE,30.0,7.0,23.0,2,01/04/2018,False
KING STREET NORTH,30.0,9.0,21.0,2,01/04/2018,False
LEINSTER STREET SOUTH,30.0,3.0,27.0,2,01/04/2018,False
LIME STREET,40.0,6.0,34.0,2,01/04/2018,False
MARKET STREET SOUTH,38.0,16.0,22.0,2,01/04/2018,False
MATER HOSPITAL,40.0,22.0,18.0,2,01/04/2018,False
MERRION SQUARE EAST,30.0,1.0,29.0,2,01/04/2018,False
MERRION SQUARE WEST,20.0,0.0,20.0,2,01/04/2018,False
MOLESWORTH STREET,20.0,11.0,9.0,2,01/04/2018,False
MOUNT BROWN,22.0,9.0,13.0,2,01/04/2018,False
MOUNT STREET LOWER,40.0,19.0,21.0,2,01/04/2018,False
MOUNTJOY SQUARE WEST,30.0,27.0,3.0,2,01/04/2018,False
NEW CENTRAL BANK,40.0,2.0,38.0,2,01/04/2018,False
NEWMAN HOUSE,40.0,0.0,40.0,2,01/04/2018,False
NORTH CIRCULAR ROAD,30.0,10.0,20.0,2,01/04/2018,False
OLIVER BOND STREET,30.0,17.0,13.0,2,01/04/2018,False
ORMOND QUAY UPPER,29.0,29.0,0.0,2,01/04/2018,False
PARKGATE STREET,38.0,19.0,19.0,2,01/04/2018,False
PARNELL SQUARE NORTH,20.0,8.0,12.0,2,01/04/2018,False
PARNELL STREET,20.0,18.0,2.0,2,01/04/2018,False
PEARSE STREET,30.0,4.0,26.0,2,01/04/2018,False
PORTOBELLO HARBOUR,30.0,11.0,19.0,2,01/04/2018,False
PORTOBELLO ROAD,30.0,6.0,24.0,2,01/04/2018,False
PRINCES STREET / O'CONNELL STREET,23.0,15.0,8.0,2,01/04/2018,False
ROTHE ABBEY,35.0,6.0,29.0,2,01/04/2018,False
ROYAL HOSPITAL,40.0,6.0,34.0,2,01/04/2018,False
SANDWITH STREET,40.0,0.0,0.0,2,01/04/2018,False
SIR PATRICK DUN'S,40.0,15.0,25.0,2,01/04/2018,False
SMITHFIELD,30.0,6.0,24.0,2,01/04/2018,False
SMITHFIELD NORTH,30.0,7.0,23.0,2,01/04/2018,False
SOUTH DOCK ROAD,30.0,4.0,26.0,2,01/04/2018,False
ST JAMES HOSPITAL (LUAS),40.0,23.0,17.0,2,01/04/2018,False
ST. JAMES HOSPITAL (CENTRAL),40.0,25.0,15.0,2,01/04/2018,False
ST. STEPHEN'S GREEN EAST,40.0,19.0,21.0,2,01/04/2018,False
ST. STEPHEN'S GREEN SOUTH,30.0,14.0,16.0,2,01/04/2018,False
STRAND STREET GREAT,35.0,26.0,9.0,2,01/04/2018,False
TALBOT STREET,40.0,36.0,4.0,2,01/04/2018,False
THE POINT,40.0,8.0,32.0,2,01/04/2018,False
TOWNSEND STREET,20.0,18.0,2.0,2,01/04/2018,False
UPPER SHERRARD STREET,30.0,22.0,8.0,2,01/04/2018,False
WESTERN WAY,40.0,17.0,23.0,2,01/04/2018,False
WILTON TERRACE,20.0,6.0,14.0,2,01/04/2018,False
WOLFE TONE STREET,29.0,28.0,1.0,2,01/04/2018,False
YORK STREET EAST,32.0,18.0,14.0,2,01/04/2018,False
YORK STREET WEST,40.0,22.0,18.0,2,01/04/2018,False
BARROW STREET,40.0,4.0,36.0,3,01/04/2018,False
BENSON STREET,40.0,0.0,0.0,3,01/04/2018,False
BLACKHALL PLACE,30.0,5.0,25.0,3,01/04/2018,False
BLESSINGTON STREET,20.0,3.0,17.0,3,01/04/2018,False
BOLTON STREET,20.0,11.0,9.0,3,01/04/2018,False
BROOKFIELD ROAD,30.0,21.0,9.0,3,01/04/2018,False
CATHAL BRUGHA STREET,20.0,19.0,1.0,3,01/04/2018,False
CHARLEMONT PLACE,40.0,32.0,8.0,3,01/04/2018,False
CHRISTCHURCH PLACE,20.0,17.0,3.0,3,01/04/2018,False
CITY QUAY,30.0,3.0,27.0,3,01/04/2018,False
CLARENDON ROW,31.0,18.0,13.0,3,01/04/2018,False
CLONMEL STREET,33.0,33.0,0.0,3,01/04/2018,False
COLLINS BARRACKS MUSEUM,38.0,13.0,25.0,3,01/04/2018,False
CONVENTION CENTRE,40.0,0.0,40.0,3,01/04/2018,False
CUSTOM HOUSE,30.0,27.0,3.0,3,01/04/2018,False
CUSTOM HOUSE QUAY,30.0,9.0,21.0,3,01/04/2018,False
DAME STREET,16.0,14.0,2.0,3,01/04/2018,False
DENMARK STREET GREAT,20.0,15.0,5.0,3,01/04/2018,False
DEVERELL PLACE,30.0,26.0,4.0,3,01/04/2018,False
EARLSFORT TERRACE,30.0,7.0,23.0,3,01/04/2018,False
ECCLES STREET,20.0,5.0,15.0,3,01/04/2018,False
ECCLES STREET EAST,27.0,0.0,27.0,3,01/04/2018,False
EMMET ROAD,40.0,16.0,24.0,3,01/04/2018,False
EXCHEQUER STREET,24.0,15.0,9.0,3,01/04/2018,False
EXCISE WALK,40.0,17.0,23.0,3,01/04/2018,False
FENIAN STREET,35.0,7.0,28.0,3,01/04/2018,False
FITZWILLIAM SQUARE EAST,40.0,0.0,0.0,3,01/04/2018,False
FITZWILLIAM SQUARE WEST,30.0,9.0,21.0,3,01/04/2018,False
FOWNES STREET UPPER,30.0,18.0,12.0,3,01/04/2018,False
FRANCIS STREET,30.0,21.0,9.0,3,01/04/2018,False
FREDERICK STREET SOUTH,30.0,8.0,22.0,3,01/04/2018,False
GEORGES LANE,40.0,3.0,37.0,3,01/04/2018,False
GEORGES QUAY,20.0,9.0,11.0,3,01/04/2018,False
GOLDEN LANE,20.0,19.0,1.0,3,01/04/2018,False
GRAND CANAL DOCK,40.0,18.0,22.0,3,01/04/2018,False
GRANGEGORMAN LOWER (CENTRAL),40.0,4.0,36.0,3,01/04/2018,False
GRANGEGORMAN LOWER (NORTH),36.0,2.0,34.0,3,01/04/2018,False
GRANGEGORMAN LOWER (SOUTH),40.0,3.0,37.0,3,01/04/2018,False
GRANTHAM STREET,30.0,12.0,18.0,3,01/04/2018,False
GRATTAN STREET,23.0,3.0,20.0,3,01/04/2018,False
GREEK STREET,20.0,13.0,7.0,3,01/04/2018,False
GUILD STREET,40.0,3.0,37.0,3,01/04/2018,False
HANOVER QUAY,40.0,1.0,39.0,3,01/04/2018,False
HARCOURT TERRACE,20.0,14.0,6.0,3,01/04/2018,False
HARDWICKE PLACE,25.0,12.0,13.0,3,01/04/2018,False
HARDWICKE STREET,16.0,3.0,13.0,3,01/04/2018,False
HATCH STREET,36.0,11.0,25.0,3,01/04/2018,False
HERBERT PLACE,30.0,20.0,10.0,3,01/04/2018,False
HERBERT STREET,40.0,4.0,36.0,3,01/04/2018,False
HEUSTON BRIDGE (NORTH),40.0,35.0,5.0,3,01/04/2018,False
HEUSTON BRIDGE (SOUTH),25.0,10.0,15.0,3,01/04/2018,False
HEUSTON STATION (CAR PARK),40.0,40.0,0.0,3,01/04/2018,False
HEUSTON STATION (CENTRAL),40.0,40.0,0.0,3,01/04/2018,False
HIGH STREET,29.0,17.0,12.0,3,01/04/2018,False
JAMES STREET,40.0,23.0,17.0,3,01/04/2018,False
JERVIS STREET,21.0,11.0,10.0,3,01/04/2018,False
JOHN STREET WEST,31.0,23.0,8.0,3,01/04/2018,False
KEVIN STREET,40.0,21.0,19.0,3,01/04/2018,False
KILMAINHAM GAOL,40.0,28.0,12.0,3,01/04/2018,False
KILMAINHAM LANE,30.0,7.0,23.0,3,01/04/2018,False
KING STREET NORTH,30.0,9.0,21.0,3,01/04/2018,False
LEINSTER STREET SOUTH,30.0,3.0,27.0,3,01/04/2018,False
LIME STREET,40.0,6.0,34.0,3,01/04/2018,False
MARKET STREET SOUTH,38.0,16.0,22.0,3,01/04/2018,False
MATER HOSPITAL,40.0,22.0,18.0,3,01/04/2018,False
MERRION SQUARE EAST,30.0,1.0,29.0,3,01/04/2018,False
MERRION SQUARE WEST,20.0,0.0,20.0,3,01/04/2018,False
MOLESWORTH STREET,20.0,11.0,9.0,3,01/04/2018,False
MOUNT BROWN,22.0,9.0,13.0,3,01/04/2018,False
MOUNT STREET LOWER,40.0,19.0,21.0,3,01/04/2018,False
MOUNTJOY SQUARE WEST,30.0,27.0,3.0,3,01/04/2018,False
NEW CENTRAL BANK,40.0,2.0,38.0,3,01/04/2018,False
NEWMAN HOUSE,40.0,0.0,40.0,3,01/04/2018,False
NORTH CIRCULAR ROAD,30.0,10.0,20.0,3,01/04/2018,False
OLIVER BOND STREET,30.0,17.0,13.0,3,01/04/2018,False
ORMOND QUAY UPPER,29.0,29.0,0.0,3,01/04/2018,False
PARKGATE STREET,38.0,19.0,19.0,3,01/04/2018,False
PARNELL SQUARE NORTH,20.0,8.0,12.0,3,01/04/2018,False
PARNELL STREET,20.0,18.0,2.0,3,01/04/2018,False
PEARSE STREET,30.0,4.0,26.0,3,01/04/2018,False
PORTOBELLO HARBOUR,30.0,11.0,19.0,3,01/04/2018,False
